filename,width,height,class,xmin,ymin,xmax,ymax
IMG_20171125_141440.jpg,3348,2232,newcascade,1738,1120,1956,1265
IMG_20171127_114413.jpg,3348,5952,old-crappy_cascade,317,201,437,281
IMG_20171127_114413.jpg,3348,5952,newcascade,2960,5394,3288,5613
IMG_20171127_114413.jpg,3348,5952,newcascade,2836,5394,3135,5593
IMG_20171127_114413.jpg,3348,5952,newcascade,1080,3776,1362,3964
IMG_20171127_114406.jpg,3348,5952,old-crappy_cascade,1294,3825,1724,4112
IMG_20171127_114406.jpg,3348,5952,old-crappy_cascade,1394,2066,1752,2305
IMG_20171127_114406.jpg,3348,5952,old-crappy_cascade,2151,1055,2450,1254
IMG_20171127_114406.jpg,3348,5952,old-crappy_cascade,657,1258,906,1424
IMG_20171127_114406.jpg,3348,5952,old-crappy_cascade,1187,528,1307,608
IMG_20171127_114406.jpg,3348,5952,newcascade,1731,1290,2350,1703
IMG_20171127_114406.jpg,3348,5952,newcascade,2924,3448,3282,3687
IMG_20171127_114406.jpg,3348,5952,newcascade,2372,3434,2730,3673
IMG_20171127_114406.jpg,3348,5952,newcascade,742,4386,1100,4625
IMG_20171127_114406.jpg,3348,5952,newcascade,785,3370,1084,3569
IMG_20171127_114406.jpg,3348,5952,newcascade,2783,2279,3082,2478
IMG_20171127_114406.jpg,3348,5952,newcascade,2852,2230,3166,2439
IMG_20171127_114406.jpg,3348,5952,newcascade,2941,3499,3190,3665
IMG_20171127_114406.jpg,3348,5952,newcascade,2604,1328,2917,1536
IMG_20171127_114406.jpg,3348,5952,newcascade,2432,2238,2698,2415
IMG_20171127_114413.jpg,3348,5952,old-crappy_cascade,1389,5107,1509,5187
IMG_20171127_114406.jpg,3348,5952,newcascade,710,1822,938,1974
IMG_20171127_114413.jpg,3348,5952,old-crappy_cascade,1491,4692,1635,4788
IMG_20171127_114413.jpg,3348,5952,old-crappy_cascade,1870,3097,2077,3235
IMG_20171127_114419.jpg,3348,5952,old-crappy_cascade,2666,1502,2890,1651
IMG_20171127_114419.jpg,3348,5952,newcascade,1204,56,2096,650
IMG_20171127_114419.jpg,3348,5952,newcascade,659,2798,1089,3085
IMG_20171127_114419.jpg,3348,5952,newcascade,2304,1276,2777,1592
IMG_20171127_114419.jpg,3348,5952,newcascade,958,5532,1316,5771
IMG_20171127_114419.jpg,3348,5952,newcascade,2726,3860,3120,4123
IMG_20171127_114419.jpg,3348,5952,newcascade,2509,3627,2867,3866
IMG_20171127_114419.jpg,3348,5952,newcascade,2488,1851,2787,2050
IMG_20171127_114419.jpg,3348,5952,newcascade,2619,3970,2868,4136
IMG_20171127_114419.jpg,3348,5952,newcascade,814,3710,1063,3876
IMG_20171127_114419.jpg,3348,5952,newcascade,2775,5727,2982,5865
IMG_20171127_114419.jpg,3348,5952,newcascade,632,3714,870,3873
IMG_20171127_114419.jpg,3348,5952,newcascade,2897,2193,3104,2331
